like1,pardir_panels,parcrop,parclip,parsmooth,parbin,parsegment,simulation_0,chain
1.0,1.0,1.0,0.0,1.0,0.0,6.0,3902.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,7.0,3904.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,8.0,2702.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,2.0,2804.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,3.0,1202.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,4.0,1203.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,5.0,1202.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,3604.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,7.0,3600.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,8.0,4004.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,302.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,303.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1502.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,3.0,905.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,4.0,900.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,5.0,2504.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,6.0,3902.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,7.0,3904.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,8.0,2702.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,2.0,2804.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,3.0,1202.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,4.0,1203.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,5.0,1202.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,3604.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,7.0,3600.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,8.0,4004.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,302.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,303.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1502.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,3.0,905.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,4.0,900.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,5.0,2504.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,6.0,3902.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,7.0,3904.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,8.0,2702.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,2.0,2804.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,3.0,1202.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,4.0,1203.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,5.0,1202.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,3604.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,7.0,3600.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,8.0,4004.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,302.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,303.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1502.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,3.0,905.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,4.0,900.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,5.0,2504.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,6.0,3902.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,7.0,3904.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,8.0,2702.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,2.0,2.0,2804.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,3.0,1202.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,4.0,1203.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,5.0,1202.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,3604.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
